Name,Latitude,Longitude
A Lot East,42.458147,-76.475414
Airport,42.489067,-76.4626
Aldi,42.449233,-76.50645
Anabel Taylor Hall,42.444848,-76.485206
Aubles Trailer Park,42.547383,-76.676117
Aurora @ Commons,42.4394,-76.4956
Bailey Hall,42.449358,-76.4795
Baker Flagpole,42.44782,-76.487736
Baker Flagpole/Slopeside,42.447817,-76.487483
Balch Hall @ Cradit Farm,42.452915,-76.479397
Balch Hall @ Thurston,42.453068,-76.480967
Berkshire Village,42.304383,-76.1865
Boyce-Thompson Institute,42.447467,-76.467641
Bradfield Hall,42.447632,-76.475988
Bradfield Parking Lot,42.447512,-76.475197
Brooktondale Store,42.381583,-76.396667
Buffalo @ Aurora,42.44135,-76.4959
Buttermilk Falls,42.417217,-76.52365
Caroline Town Hall,42.393883,-76.349783
Caroline Turn-Around,42.378215,-76.278395
Carpenter Hall,42.444899,-76.484932
Cass Park,42.442983,-76.514833
Cayuga @ Boynton MS,42.4612,-76.49985
Cayuga @ Commons,42.43985,-76.499133
Cayuga @ Court,42.442598,-76.49907
Cayuga @ Lincoln,42.452017,-76.49965
Cayuga @ Tompkins,42.448433,-76.499433
Cayuga @ West Falls,42.452783,-76.499817
Cayuga Heights Fire Dept,42.46849,-76.47845
Cayuga Medical Center,42.46761,-76.538279
Cayuga Nature Center,42.519314,-76.554731
Clinton @ Corn,42.436683,-76.506417
Clinton @ Geneva,42.436842,-76.500593
Clinton @ Meadow,42.436733,-76.508233
Clinton West Plaza,42.436683,-76.506417
College @ Dryden,42.441757,-76.485153
College @ Mitchell,42.437683,-76.485164
Convenient Care,42.478917,-76.467
Cornell @ Mitchell,42.43788,-76.477475
Corson/Mudd Hall,42.447499,-76.47948
Court @ Cayuga,42.44255,-76.498933
Court @ Linn,42.443103,-76.494408
Dairy Bar,42.447482,-76.471183
Dairy Bar Across Street,42.447649,-76.471048
Danby Fire Station,42.367333,-76.4875
Depot @ Valley Manor,42.368917,-76.557467
Dey @ Lincoln,42.45123,-76.502892
Dryden South,42.47232,-76.294792
Dryden Village,42.490817,-76.299383
Duffield Hall,42.445216,-76.482425
East Hill Plaza,42.437659,-76.462654
Eastern Hts. @ Skyvue,42.422262,-76.44839
Ellis Hollow @ Turkey Hi,42.430783,-76.428317
Ellis Hollow Comm. Cente,42.431017,-76.415383
Elm @ West Village,42.4365,-76.5225
Elmira @ Spencer,42.42,-76.519317
Enfield Center,42.437817,-76.630967
Enfield Park-n-Ride,42.4585,-76.630883
Etna @ Pinckney,42.487183,-76.409683
Etna Mills Apartments,42.48347,-76.387969
Freeville Park-n-Ride,42.512079,-76.350461
Freeville Village,42.512001,-76.350384
Geneva @ Court,42.442583,-76.500933
GIAC,42.442438,-76.501951
Goldwin Smith Hall,42.449881,-76.483012
Green @ Commons,42.438546,-76.498701
Groton Main Street,42.586417,-76.366483
Groton Town Hall,42.58985,-76.369233
Hancock Plaza,42.446667,-76.504883
Hanshaw @ Warren,42.467115,-76.46595
Hasbrouck Apts.,42.456261,-76.471623
Hector @ Warren,42.448617,-76.5263
Helen Newman,42.453186,-76.476858
Highland @ Thurston,42.453833,-76.486536
Hillside View Trailer Pa,42.330467,-76.4433
Hudson @ Grandview,42.431283,-76.492417
Hudson @ Pearsall,42.431494,-76.492032
Ithaca Bus Station,42.43935,-76.51105
Ithaca Rd. @ Dryden Rd.,42.441065,-76.477597
Jacksonville Post Office,42.507867,-76.614233
Jessup @ Pleasant Grove,42.456685,-76.474572
Juniper Manor,42.540661,-76.661659
Keith @ Lake,42.470188,-76.283162
Kennedy Hall,42.447647,-76.479345
Lake @ Ithaca HS,42.455117,-76.49595
Langmuir Lab,42.485533,-76.4581
Lansing Fire Co. #3,42.587233,-76.590083
Lansing HS,42.542383,-76.537033
Lansing Town Hall,42.53825,-76.4994
Lansing West Apts.,42.479,-76.482683
Linderman Creek Apts.,42.449307,-76.530451
Longview,42.416869,-76.503316
Lower Creek Rd.,42.479767,-76.4001
Ludlowville,42.553583,-76.537483
McLean,42.549667,-76.294483
Meadow @ Elmira,42.428367,-76.5081
Morrison Hall,42.447395,-76.469791
Myers Point Rd. @ Rt. 34,42.5423,-76.53735
N. Cayuga @ Boynton MS,42.461822,-76.499214
N. Cayuga @ Ithaca HS,42.454783,-76.499667
N. Lansing Fire Co. #4,42.612975,-76.497034
Nates Floral Estates,42.436367,-76.512918
Newark Valley,42.224042,-76.18373
Newfield Central School,42.360167,-76.59725
Newfield Depot @ W. Danb,42.3686,-76.552317
Newfield Town Hall,42.363417,-76.588267
Northwood Apts.,42.48625,-76.469567
Ornithology Lab,42.480507,-76.449042
Overlook Apts.,42.46575,-76.5403
Parkway @ Upland,42.463751,-76.486608
Parkwood Village,42.47275,-76.4215
Pinckney @ Lower Creek,42.477183,-76.406233
Pine Tree @ Rt. 79,42.422583,-76.4618
Pleasant Grove @ Hanshaw,42.468133,-76.4781
Public Safety Building,42.492333,-76.467983
Public Safety Building A,42.492333,-76.467983
Pyramid Mall @ Sears,42.4829,-76.489917
Richford,42.356533,-76.205667
Riley-Robb Hall,42.445422,-76.46977
Risley Hall,42.452872,-76.481224
Rockefeller Hall,42.449501,-76.482696
Roy Park School,42.424285,-76.495082
RPCC @ Jameson,42.456228,-76.478239
Rt. 13 @ George,42.489835,-76.328362
Rt. 13 @ Irish Settlemen,42.489669,-76.327995
Rt. 13 @ Johnson,42.48715,-76.343217
Rt. 13 @ Kirk,42.480767,-76.373783
Rt. 13 @ Yellowbarn,42.48715,-76.343217
Rt. 79 @ Crispell's,42.401991,-76.422444
Rt. 79 @ EcoVillage,42.448212,-76.539471
Rt. 79 @ Enfield Main Rd,42.450978,-76.631117
Rt. 79 @ Honness Lane,42.429367,-76.471517
Sage Hall,42.445501,-76.482789
Schwartz PAC,42.442664,-76.485342
Seneca @ Commons,42.440457,-76.496148
Seneca Way,42.439688,-76.494019
Sibley Hall,42.451317,-76.483462
Spencer Rd.,42.419583,-76.5187
State @ Commons,42.439477,-76.499145
State @ Corn,42.4392,-76.506333
State @ Fulton,42.439061,-76.510322
Stewart Park,42.462652,-76.50045
Taughannock Falls State,42.544675,-76.597481
TC3,42.5028,-76.288417
TCAT Offices,42.452567,-76.505517
Teagle Hall,42.445769,-76.479703
The Towers @ Ithaca Coll,42.420763,-76.495777
Third @ Hancock,42.446667,-76.504883
Thornwood Dr.,42.487417,-76.465083
Thurston @ Ridgewood,42.454281,-76.488829
Tioga @ Lincoln,42.452133,-76.497683
Titus Towers I,42.431567,-76.504417
Tobin Field House,42.45642,-76.480995
Tompkins @ Cayuga,42.448433,-76.499433
Tompkins @ Dey,42.448383,-76.5008
Tompkins Trust Co. NE,42.478167,-76.481967
Tops Supermarket (Ithaca,42.431967,-76.509683
Tops Supermarket (Lansin,42.484033,-76.486617
Towerview Apts.,42.430367,-76.524133
Town Houses,42.456724,-76.475985
Triphammer @ Cayuga Mall,42.483,-76.48525
Triphammer @ Hanshaw,42.470133,-76.480367
Triphammer @ Sheraton,42.478167,-76.481967
Triphammer @ Upland,42.4697,-76.479917
Trumansburg Central Scho,42.539283,-76.653167
Turkey Hill @ Dryden,42.460217,-76.427367
University @ Lake,42.449542,-76.492056
Uptown Village Apts.,42.478467,-76.471867
Uris Hall,42.447484,-76.482116
Uris Hall Across Street,42.447621,-76.482054
Varna,42.454283,-76.440733
Vet Medical Center,42.446463,-76.464828
Vet School,42.447229,-76.466659
Village Meadows,42.485533,-76.481083
WalMart,42.4274,-76.513617
Warren Pl. @ Cliff Park,42.441998,-76.524185
Warren Rd. @ Farrell,42.514467,-76.472
Wegmans,42.435233,-76.509867
Winston Ct.,42.475633,-76.45755
Wyckoff @ Highland,42.456325,-76.485983
ZoneChange1,42.491228,-76.539522
ZoneChange2,42.480302,-76.560959
ZoneChange3,42.447344,-76.571202
ZoneChange4,42.398308,-76.546059
ZoneChange5,42.39441,-76.497668
ZoneChange7,42.405348,-76.429411
ZoneChange8,42.470828,-76.402531
ZoneChange9,42.518045,-76.472156
ZoneChange10,42.48616,-76.409051
ZoneChange11,42.515626,-76.50835
Parkway @ Cayuga Heights,42.465002,-76.486787
SPCA,42.471816,-76.438805
Thurston @ Wyckoff,42.453693,-76.48379
Seneca Way,42.439688,-76.494019
Etna,42.485177,-76.383746
Highland @ Congregationa,42.457628,-76.48636
Tioga @ Court,42.4425,-76.4969
Franziska Racker Center,42.4931,-76.5547
ZoneChange12,42.493562,-76.554905
University @ Cornell,42.447265,-76.492996
Boldt Hall,42.44921,-76.489279
PnR - Brooktondale,42.380887,-76.393655
PnR - Caroline,42.393951,-76.349545
PnR - Danby,42.33078,-76.443309
PnR - Dryden (TC3),42.503305,-76.288492
PnR - Dryden (Village),42.489784,-76.297682
PnR - Enfield,42.450699,-76.631387
PnR - Lansing (Mall),42.483012,-76.492466
PnR - Lansing (Rt. 34),42.612977,-76.497023
PnR - Lansing (Rt. 34B),42.587379,-76.590003
PnR - Freeville,42.512081,-76.350599
PnR - Groton,42.589321,-76.369073
PnR - Newfield,42.36328,-76.588122
PnR - Trumansburg,42.541697,-76.666412
PnR - Lansing (Town H),42.538167,-76.499395
B Lot Center,42.446737,-76.463345
A Lot West,42.458059,-76.477289
B Lot West,42.445759,-76.463659
B Lot East,42.446375,-76.462065
Maplewood @ Mitchell,42.43778,-76.472094
RPCC @ Jessup Rd,42.456645,-76.477032
Jessup @ Sisson,42.456978,-76.478446
Maple Hill Apartments,42.441374,-76.471783
Akwekon,42.456336,-76.480934
Appel Commons,42.453281,-76.476682
Barton Hall,42.445962,-76.479845
Maple @ Maplewood Park,42.441357,-76.475027
Statler Hall,42.446013,-76.482517
Stewart @ University,42.449116,-76.490238
Stewart @ Williams,42.442412,-76.489775
